	ID	log(g)	[Fe/H]	Teff	E(B-V)	BC_1	BC_2	BC_3	BC_4	BC_5
205893214	3.0197	0.26774077	4824.86	0	2.031	-0.052	0.6	-0.014	0.269	
205905204	2.5453	0.030019641	4641.7	0	2.144	-0.113	0.57	-0.085	0.24	
205906794	1.9752	-0.47952047	4439.25	0	2.272	-0.202	0.519	-0.197	0.195	
205910729	2.3163	0.11863124	4532.23	0	2.216	-0.151	0.558	-0.122	0.229	
205912715	2.953	0.37769009	4596.46	0	2.177	-0.126	0.578	-0.091	0.249	
205914038	2.2949	-1.4207495	5025.88	0	1.88	-0.052	0.538	-0.056	0.211	
205916760	2.424	-0.69095032	4740.06	0	2.069	-0.102	0.549	-0.096	0.223	
205917319	2.3412	-1.1963373	4937.74	0	1.937	-0.065	0.542	-0.067	0.215	
205917986	2.5344	-0.96720291	4763.5	0	2.049	-0.103	0.538	-0.103	0.212	
205918432	2.6752	-0.69565395	4883.64	0	1.977	-0.065	0.556	-0.058	0.228	
205918843	2.4665	-0.51612944	4698.28	0	2.099	-0.11	0.552	-0.1	0.226	
205919444	2.3776	-0.35852368	5002.57	0	1.912	-0.026	0.581	-0.008	0.252	
205921032	2.6375	-0.38850526	4780.47	0	2.048	-0.083	0.564	-0.068	0.237	
205921511	2.4577	0.14709839	4651.83	0	2.139	-0.107	0.578	-0.073	0.247	
205923900	2.6781	-0.061242744	4607.17	0	2.165	-0.129	0.56	-0.105	0.232	
205925176	3.0777	-0.20168782	4853.91	0	2.005	-0.059	0.576	-0.038	0.248	
205927592	2.5913	-0.5611329	4745.44	0	2.067	-0.097	0.553	-0.088	0.227	
205927877	2.7825	0.38675662	4669.74	0	2.13	-0.098	0.59	-0.058	0.259	
205928834	2.4344	0.22176702	4423.29	0	2.289	-0.197	0.541	-0.172	0.213	
205929054	2.7711	-0.39363663	4909.53	0	1.967	-0.05	0.571	-0.035	0.243	
205930631	2.4161	-1.0475406	4921.08	0	1.949	-0.065	0.545	-0.065	0.218	
205930855	2.9513	-0.44780358	4955.67	0	1.937	-0.042	0.569	-0.029	0.24	
205931354	2.3585	-0.18713724	4923.81	0	1.963	-0.037	0.588	-0.013	0.258	
205931805	2.3314	-0.35632373	4598.73	0	2.166	-0.138	0.548	-0.125	0.222	
205933248	2.6831	-0.49918517	4831.72	0	2.014	-0.072	0.562	-0.061	0.235	
205934139	2.3795	-0.44920835	4984.91	0	1.921	-0.033	0.575	-0.018	0.247	
205935513	2.7879	-0.3778754	4941.63	0	1.947	-0.042	0.573	-0.026	0.245	
205935967	2.488	-0.80543026	4845.67	0	2	-0.077	0.551	-0.072	0.224	
205937021	2.4344	0.29418727	4724.01	0	2.094	-0.079	0.595	-0.039	0.263	
205937656	2.4072	0.031842555	4697.43	0	2.108	-0.094	0.578	-0.063	0.248	
205938474	2.9039	-0.2450487	4924.55	0	1.96	-0.042	0.579	-0.022	0.25	
205939625	2.3477	-0.68646385	5208.16	0	1.782	0	0.563	0.008	0.233	
205941372	2.5212	-0.020232082	4612.49	0	2.162	-0.125	0.563	-0.099	0.235	
205943222	2.104	-0.34970106	4521.46	0	2.218	-0.166	0.538	-0.154	0.213	
205944548	1.9606	-0.77303333	4615.34	0	2.151	-0.141	0.537	-0.138	0.213	
205945695	2.364	-0.58265703	4704.99	0	2.094	-0.109	0.551	-0.101	0.225	
205947539	2.6521	-0.87447266	4815.61	0	2.017	-0.087	0.544	-0.085	0.218	
205950384	2.3494	-0.50599742	4965.44	0	1.932	-0.039	0.572	-0.025	0.244	
205951306	2.362	-0.45081716	4910.1	0	1.967	-0.05	0.573	-0.035	0.245	
205952605	2.3978	-0.17900202	4841.17	0	2.015	-0.058	0.582	-0.034	0.253	
205953049	3.0688	0.40522925	4788.17	0	2.056	-0.06	0.604	-0.018	0.273	
205953136	2.5264	-0.23892476	4605.48	0	2.163	-0.133	0.553	-0.117	0.226	
205953480	2.6078	-0.55084292	4753.2	0	2.063	-0.095	0.554	-0.086	0.228	
205954223	2.7456	-0.51781738	4716.5	0	2.086	-0.105	0.551	-0.096	0.225	
205958354	2.7032	0.3145961	4583.71	0	2.184	-0.13	0.574	-0.096	0.244	
205959371	2.5627	-0.22690851	4764.29	0	2.062	-0.082	0.572	-0.061	0.244	
205960995	2.7655	0.16325102	4666	0	2.13	-0.103	0.578	-0.071	0.248	
205964329	2.9151	0.024745121	4811.74	0	2.036	-0.062	0.586	-0.032	0.256	
205965538	2.884	-0.3215591	4813.16	0	2.028	-0.073	0.568	-0.056	0.241	
205965619	2.1288	-0.34217054	4536.04	0	2.209	-0.16	0.541	-0.147	0.215	
205965748	2.8032	-0.45901795	5058.04	0	1.875	-0.021	0.572	-0.007	0.242	
205967938	2.368	-1.3265869	4999.41	0	1.897	-0.055	0.54	-0.059	0.212	
205969774	2.681	-1.3984709	5108.31	0	1.828	-0.041	0.532	-0.046	0.204	
205970868	2.9217	-0.53863382	5002.17	0	1.907	-0.035	0.565	-0.024	0.237	
205972576	2.364	-0.09943831	4846.06	0	2.013	-0.054	0.587	-0.026	0.258	
205973739	3.0783	-0.48740395	4914.92	0	1.961	-0.053	0.564	-0.041	0.236	
205974551	2.8439	0.098662731	4752.82	0	2.074	-0.077	0.585	-0.045	0.255	
205975223	2.6764	-0.57605077	4820.55	0	2.019	-0.078	0.558	-0.068	0.231	
205976629	2.3752	-0.22093788	5009.78	0	1.91	-0.019	0.589	0.004	0.259	
205977024	3.0391	-0.32787138	4996.97	0	1.914	-0.029	0.576	-0.012	0.247	
205977740	2.6401	-0.58658261	4789.74	0	2.039	-0.086	0.555	-0.077	0.229	
205979159	2.704	-0.90915586	5014.28	0	1.893	-0.044	0.549	-0.041	0.221	
205980492	2.4871	-0.22999911	4800.92	0	2.039	-0.071	0.575	-0.05	0.247	
205982177	2.5356	-0.41472073	4877.1	0	1.987	-0.057	0.571	-0.042	0.243	
205982347	2.9845	-0.23491479	4926.78	0	1.959	-0.041	0.579	-0.021	0.25	
205982653	2.3776	-0.26881855	4983.05	0	1.925	-0.027	0.585	-0.006	0.256	
205983689	2.9587	-0.31870081	4929.06	0	1.956	-0.044	0.575	-0.026	0.246	
205987002	2.3301	-0.19768649	4748.5	0	2.073	-0.084	0.574	-0.062	0.246	
205988017	2.6232	-0.3164963	4755.16	0	2.066	-0.088	0.566	-0.071	0.238	
205992336	2.8341	-0.45847446	4849.96	0	2.003	-0.067	0.564	-0.054	0.237	
205993475	2.5704	-0.011296978	4561.69	0	2.195	-0.144	0.556	-0.119	0.227	
205993924	2.5284	-0.39615164	4671.94	0	2.118	-0.115	0.554	-0.102	0.228	
205994225	2.6477	-0.89616802	4988.53	0	1.909	-0.048	0.55	-0.045	0.222	
205994284	3.1202	0.11081473	4849.52	0	2.014	-0.05	0.593	-0.018	0.262	
205994591	2.8033	0.56416045	4661.59	0	2.136	-0.098	0.599	-0.053	0.267	
205995590	3.2587	-0.18663926	5051.97	0	1.884	-0.014	0.584	0.008	0.254	
205996255	2.5496	-0.25490345	4743.88	0	2.074	-0.089	0.568	-0.07	0.241	
205997047	2.8305	-0.40319434	4919.65	0	1.96	-0.048	0.571	-0.033	0.243	
205997248	2.5323	-0.51092515	4842.81	0	2.007	-0.069	0.564	-0.057	0.236	
205997718	2.4677	-0.6151662	4897.39	0	1.971	-0.058	0.562	-0.049	0.235	
205997746	2.6215	-1.2829825	5015.03	0	1.886	-0.053	0.537	-0.057	0.21	
205999925	2.375	-0.25419585	4824.12	0	2.024	-0.065	0.577	-0.044	0.249	
206000140	2.5703	-0.72862867	4851.29	0	1.997	-0.074	0.554	-0.068	0.227	
206000925	2.5904	-0.62633231	4741.08	0	2.069	-0.1	0.55	-0.093	0.224	
206001934	2.4738	-0.57793197	4707.34	0	2.092	-0.109	0.55	-0.1	0.224	
206002338	2.3004	-0.49583091	4687.14	0	2.107	-0.112	0.553	-0.101	0.227	
206002435	2.4031	-0.99379265	4839.13	0	2.001	-0.083	0.544	-0.083	0.217	
206002508	2.6236	0.14899846	4629.34	0	2.153	-0.116	0.573	-0.084	0.243	
206004843	2.516	-0.63742854	4838.06	0	2.008	-0.074	0.558	-0.066	0.231	
206005708	2.57	-0.69059843	4876.02	0	1.983	-0.066	0.557	-0.059	0.229	
206007828	2.9489	-0.38628447	5046.88	0	1.883	-0.021	0.574	-0.005	0.245	
206008070	2.5344	-0.83707266	4876.81	0	1.98	-0.07	0.55	-0.067	0.224	
206010093	2.8285	-0.44271924	4798.55	0	2.035	-0.08	0.561	-0.067	0.234	
206010094	2.9713	0.20235143	4857.46	0	2.01	-0.045	0.6	-0.008	0.268	
206010346	2.5045	-0.17001769	4665.55	0	2.126	-0.111	0.564	-0.089	0.236	
206011914	2.6152	-0.20990266	4661.19	0	2.127	-0.114	0.561	-0.095	0.233	
206013104	2.9985	-0.067118127	4903.29	0	1.977	-0.041	0.587	-0.014	0.258	
206013596	3.0246	-0.27019382	4956.29	0	1.94	-0.036	0.578	-0.017	0.249	
206013893	2.7261	-0.45055847	4761.96	0	2.058	-0.09	0.559	-0.078	0.232	
206014119	2.8088	0.13154403	4650.32	0	2.139	-0.11	0.574	-0.079	0.245	
206018246	2.9839	-0.2060172	4819.5	0	2.026	-0.068	0.574	-0.047	0.246	
206018302	2.3307	-0.27044757	4861.4	0	2.001	-0.055	0.58	-0.035	0.251	
206021225	2.9335	-0.32930611	4868.05	0	1.994	-0.059	0.571	-0.042	0.243	
206021755	2.3615	-0.49574761	4992.67	0	1.915	-0.033	0.573	-0.019	0.245	
206022129	2.3968	-0.29521882	4714.4	0	2.093	-0.098	0.565	-0.08	0.237	
206022274	2.3604	-0.30013037	4892.5	0	1.981	-0.049	0.58	-0.029	0.251	
206023114	2.4559	-0.61139634	4849.89	0	2.001	-0.07	0.56	-0.06	0.233	
206024119	2.9538	-0.46529725	5021.73	0	1.896	-0.029	0.57	-0.016	0.241	
206025072	2.7052	-0.43275911	4899.55	0	1.973	-0.053	0.569	-0.039	0.241	
206027510	2.2591	0.40117252	4556.12	0	2.202	-0.137	0.577	-0.098	0.246	
206028879	3.0545	0.49278341	4836.02	0	2.027	-0.044	0.614	0.002	0.282	
206028891	2.3022	-0.44784502	4963.71	0	1.934	-0.037	0.576	-0.021	0.247	
206028894	2.3563	0.25541785	4752.93	0	2.076	-0.07	0.597	-0.03	0.265	
206029132	2.2708	-0.17195217	4782.37	0	2.052	-0.073	0.579	-0.049	0.25	
206030078	2.361	-0.53268795	5084.34	0	1.859	-0.016	0.573	-0.003	0.244	
206032032	2.3132	-0.51023972	4702.08	0	2.097	-0.108	0.554	-0.097	0.228	
206032040	2.4351	0.17443491	4951.91	0	1.952	-0.019	0.609	0.02	0.278	
206032640	2.3675	-0.29971815	4972.01	0	1.932	-0.03	0.583	-0.01	0.254	
206034034	2.2845	0.23333957	4463.12	0	2.262	-0.178	0.55	-0.149	0.221	
206035736	2.9996	-0.68644099	5040.85	0	1.88	-0.033	0.558	-0.026	0.229	
206036741	2.9695	-0.042015885	4934.52	0	1.958	-0.033	0.591	-0.005	0.261	
206037023	2.4997	-0.67335487	4813.54	0	2.022	-0.081	0.555	-0.074	0.228	
206037963	2.4118	-0.50887466	5119.67	0	1.838	-0.009	0.573	0.004	0.244	
206038473	2.3713	0.2276621	4660.04	0	2.134	-0.102	0.584	-0.065	0.253	
206038918	2.6645	-0.99081045	5001.06	0	1.9	-0.049	0.546	-0.048	0.218	
206040337	2.3515	-0.40454355	4637.29	0	2.141	-0.126	0.551	-0.113	0.225	
206041863	2.6716	-0.22599364	4808.02	0	2.034	-0.07	0.574	-0.049	0.246	
206042412	2.8939	0.021251671	4825.44	0	2.027	-0.058	0.587	-0.028	0.257	
206043138	2.3864	-0.39532522	4558.24	0	2.192	-0.154	0.54	-0.144	0.214	
206043905	2.4379	-0.59990129	5038.23	0	1.885	-0.027	0.568	-0.017	0.239	
206045102	2.3941	-0.25861464	4805.08	0	2.036	-0.07	0.575	-0.05	0.247	
206045914	2.2041	-0.26767918	4532.36	0	2.212	-0.16	0.543	-0.145	0.216	
206047309	2.1051	-0.44081697	4504.07	0	2.228	-0.175	0.531	-0.167	0.206	
206048811	2.2865	0.012499286	4614.38	0	2.161	-0.122	0.567	-0.093	0.238	
206048937	2.9623	0.21417606	4751.66	0	2.076	-0.075	0.59	-0.04	0.26	
206051624	2.8094	-0.45216766	4890.56	0	1.977	-0.057	0.567	-0.043	0.239	
206052599	2.7903	-0.66431985	4984.09	0	1.916	-0.043	0.56	-0.035	0.232	
206054711	2.6644	-0.51303534	4808.51	0	2.028	-0.079	0.56	-0.068	0.233	
206055602	2.6027	-0.63408236	4831.94	0	2.011	-0.076	0.556	-0.068	0.229	
206055949	2.6776	-0.13922932	4752.38	0	2.07	-0.083	0.574	-0.06	0.245	
206056634	2.6469	0.0060324185	4654.77	0	2.135	-0.11	0.57	-0.082	0.241	
206057154	3.1362	-0.20815494	5004.09	0	1.912	-0.024	0.583	-0.003	0.253	
206057551	2.4355	-0.44297977	4666.83	0	2.12	-0.118	0.552	-0.106	0.226	
206057777	2.1006	-0.49320393	4547.83	0	2.199	-0.159	0.537	-0.151	0.212	
206057842	2.6394	-0.34769088	4744.89	0	2.071	-0.092	0.563	-0.076	0.236	
206058287	2.4078	-0.41433296	4938.99	0	1.95	-0.042	0.575	-0.026	0.247	
206059787	2.3085	-0.28721197	4811.58	0	2.032	-0.069	0.575	-0.049	0.247	
206060248	2.9527	0.36014876	4823.73	0	2.033	-0.05	0.606	-0.008	0.274	
206062004	2.4259	-0.21487617	4950.63	0	1.946	-0.032	0.586	-0.009	0.257	
206062898	3.1789	-0.18806676	4931	0	1.958	-0.04	0.581	-0.018	0.252	
206062918	2.5511	-0.74448507	4790.54	0	2.036	-0.09	0.549	-0.085	0.223	
206063235	2.3544	-0.0063986248	4794.07	0	2.047	-0.065	0.588	-0.034	0.258	
206063364	2.3045	-1.3237912	4983.41	0	1.907	-0.058	0.541	-0.061	0.213	
206063831	2.4434	-1.584803	5139.52	0	1.807	-0.039	0.529	-0.046	0.201	
206064730	2.3465	-0.36872622	4618.95	0	2.153	-0.131	0.55	-0.118	0.224	
206066470	2.1096	0.14401898	4445.2	0	2.274	-0.186	0.544	-0.159	0.215	
206066993	2.4795	0.030892134	4550.99	0	2.202	-0.146	0.556	-0.121	0.228	
206067886	2.622	0.17885627	4571.29	0	2.191	-0.137	0.566	-0.106	0.236	
206069707	2.5534	-0.74042483	4745.64	0	2.064	-0.102	0.546	-0.098	0.22	
206069764	2.6534	-0.22656753	4682.67	0	2.113	-0.107	0.562	-0.089	0.235	
206070270	2.5891	0.033879402	4707.74	0	2.101	-0.091	0.578	-0.061	0.248	
206072213	2.85	0.21404155	4740.35	0	2.083	-0.078	0.59	-0.043	0.259	
206072393	2.6709	0.49714658	4499.73	0	2.24	-0.163	0.568	-0.129	0.239	
206072825	2.4233	0.056888467	4480.34	0	2.249	-0.174	0.545	-0.15	0.217	
206074162	2.969	0.26577674	4746.06	0	2.08	-0.076	0.592	-0.039	0.261	
206074623	2.6758	-0.21744403	4704.93	0	2.099	-0.1	0.565	-0.081	0.237	
206077618	2.3633	-0.0087994937	4723.62	0	2.091	-0.086	0.58	-0.056	0.25	
206079576	2.428	-0.13696311	4892.04	0	1.984	-0.044	0.588	-0.018	0.258	
206080161	2.8946	0.16846385	4650.25	0	2.14	-0.11	0.576	-0.078	0.246	
206080586	2.6407	0.11668859	4629.88	0	2.152	-0.116	0.572	-0.085	0.242	
206081428	2.3516	-0.14498534	4732.11	0	2.084	-0.088	0.574	-0.063	0.246	
206081439	2.8249	0.26902329	4723.14	0	2.095	-0.082	0.591	-0.045	0.26	
206081658	2.4092	0.00078799805	4683.29	0	2.117	-0.099	0.575	-0.07	0.245	
206082569	2.659	-0.40528591	4846.4	0	2.006	-0.065	0.568	-0.051	0.24	
206084311	2.5149	0.17009339	4737.53	0	2.085	-0.078	0.589	-0.042	0.258	
206084717	2.4243	-0.12027732	4632.89	0	2.148	-0.12	0.563	-0.097	0.234	
206086346	2.4129	0.18484478	4667.36	0	2.129	-0.1	0.582	-0.065	0.251	
206086431	2.1554	-1.5468434	5014.01	0	1.887	-0.055	0.538	-0.061	0.211	
206092674	2.9699	0.036192489	4773.08	0	2.06	-0.073	0.583	-0.044	0.253	
206093273	2.3698	-0.25335663	4719.36	0	2.09	-0.095	0.568	-0.076	0.24	
206095220	2.6419	-0.31085687	4732.82	0	2.08	-0.094	0.564	-0.078	0.236	
206097958	2.9458	-0.13938098	4780.13	0	2.052	-0.076	0.575	-0.053	0.246	
206098732	2.2486	-0.36409275	4608.52	0	2.16	-0.134	0.55	-0.121	0.224	
206100164	3.1271	0.25243324	4945.24	0	1.957	-0.021	0.608	0.017	0.276	
206100404	2.8333	-0.083969575	4842.18	0	2.015	-0.057	0.583	-0.03	0.254	
206100485	2.7453	-1.1882064	5173.52	0	1.792	-0.026	0.537	-0.028	0.207	
206100831	2.331	-0.36657585	4913.06	0	1.967	-0.046	0.577	-0.028	0.249	
206101051	2.4269	0.057786594	4853.94	0	2.011	-0.047	0.596	-0.013	0.265	
206101493	2.4164	-1.0162425	5397.01	0	1.665	0.013	0.538	0.012	0.206	
206102116	2.9308	-0.41811885	4801.44	0	2.034	-0.079	0.562	-0.066	0.235	
206102411	2.821	-0.42722645	4926.25	0	1.956	-0.047	0.57	-0.033	0.242	
206102910	2.3546	-0.45993016	4901.2	0	1.972	-0.052	0.572	-0.037	0.244	
206103224	2.5248	-0.49059598	4703.6	0	2.096	-0.108	0.553	-0.097	0.227	
206104637	2.5527	0.17110261	4568.72	0	2.192	-0.137	0.565	-0.107	0.236	
206105485	2.4135	0.50224764	4607.75	0	2.169	-0.116	0.59	-0.073	0.258	
206105701	2.5408	-0.58742251	4814.04	0	2.024	-0.079	0.558	-0.069	0.231	
206105990	2.3681	0.15733244	4779.24	0	2.058	-0.065	0.595	-0.028	0.263	
206106173	2.3457	0.44994088	4682.29	0	2.122	-0.09	0.599	-0.044	0.266	
206108556	2.4773	-0.028325311	4740.27	0	2.08	-0.082	0.58	-0.053	0.25	
206109972	2.573	-0.42648846	4690.86	0	2.105	-0.11	0.554	-0.098	0.228	
206111212	2.4002	0.1784936	4769.82	0	2.065	-0.067	0.595	-0.03	0.263	
206111552	3.2109	0.26652752	4850.5	0	2.016	-0.046	0.601	-0.009	0.27	
206112361	2.5013	0.43505439	4410.22	0	2.299	-0.202	0.547	-0.175	0.22	
206112764	2.4402	-0.91599234	5502.65	0	1.606	0.028	0.535	0.027	0.202	
206113294	2.7897	-0.017893434	4763.21	0	2.065	-0.077	0.58	-0.049	0.251	
206115828	2.2369	-0.43255649	4639.44	0	2.139	-0.125	0.551	-0.113	0.225	
206115954	2.9957	-0.4286755	4961.9	0	1.934	-0.04	0.57	-0.026	0.241	
206116718	2.6165	-0.093005703	4638.31	0	2.144	-0.118	0.563	-0.095	0.235	
206117168	2.3817	0.26697244	4569.26	0	2.193	-0.135	0.571	-0.1	0.241	
206119025	2.4047	-0.55008064	5050.67	0	1.879	-0.023	0.571	-0.011	0.242	
206119095	2.5164	-0.097493885	4637.56	0	2.145	-0.118	0.563	-0.094	0.235	
206119730	2.3378	0.13893694	4323.34	0	2.356	-0.246	0.514	-0.231	0.188	
206121277	2.9473	-0.41195559	4957.52	0	1.937	-0.04	0.571	-0.026	0.242	
206122257	2.3927	-0.42244224	5006.89	0	1.908	-0.027	0.577	-0.011	0.248	
206122659	2.4115	-0.84876343	5133.3	0	1.823	-0.018	0.556	-0.014	0.227	
206123368	2.3404	-0.20579172	4783.5	0	2.051	-0.074	0.577	-0.052	0.248	
206123736	2.5744	-0.59146539	4852.43	0	1.999	-0.069	0.56	-0.06	0.233	
206123865	2.3455	-0.22315139	4994.35	0	1.92	-0.022	0.589	0.001	0.259	
206124763	2.8637	0.65647402	4677.07	0	2.127	-0.092	0.606	-0.044	0.274	
206125501	2.4837	-0.33114518	4702.59	0	2.099	-0.103	0.561	-0.087	0.234	
206125783	2.4699	0.25534904	4549.51	0	2.206	-0.143	0.567	-0.11	0.237	
206126685	2.522	-0.50836567	4777.27	0	2.048	-0.086	0.559	-0.075	0.232	
206127655	2.3696	0.033092384	4683.91	0	2.117	-0.098	0.577	-0.067	0.247	
206129709	2.7907	-0.9146806	4893.38	0	1.967	-0.07	0.545	-0.068	0.218	
206130353	2.5734	-0.7063663	4727.14	0	2.076	-0.107	0.545	-0.102	0.219	
206131093	2.7097	-0.53229265	4892.63	0	1.975	-0.058	0.564	-0.047	0.236	
206134463	2.5814	-0.21245561	4648.38	0	2.136	-0.118	0.559	-0.099	0.232	
206137085	2.3225	-0.46586615	4715.58	0	2.089	-0.102	0.558	-0.09	0.231	
206138051	2.9166	0.48194517	4638.4	0	2.151	-0.109	0.59	-0.068	0.26	
206138182	2.8295	-0.038643194	4838.54	0	2.018	-0.056	0.586	-0.028	0.256	
206140197	2.5755	-0.065127669	4755.03	0	2.07	-0.079	0.579	-0.052	0.249	
206142277	2.779	0.16122427	4768.41	0	2.065	-0.07	0.59	-0.036	0.26	
206142903	2.5895	-0.33047108	4688.76	0	2.108	-0.108	0.558	-0.093	0.232	
206143948	2.3546	0.21216032	4643.95	0	2.144	-0.108	0.581	-0.072	0.25	
206144635	2.9405	-0.23142887	4912	0	1.968	-0.045	0.579	-0.024	0.25	
206144769	2.2761	-1.017895	4880.05	0	1.976	-0.073	0.547	-0.072	0.22	
206147129	2.6834	-0.91549081	4890.07	0	1.969	-0.07	0.546	-0.068	0.219	
206150694	2.3343	0.20253768	4759.8	0	2.071	-0.07	0.595	-0.031	0.264	
206150881	2.4382	0.45906159	4562.13	0	2.199	-0.135	0.579	-0.095	0.249	
206153754	2.9248	-0.76945052	5006.84	0	1.899	-0.042	0.554	-0.037	0.226	
206154848	2.3745	0.017310277	4796.58	0	2.046	-0.064	0.589	-0.032	0.259	
206154875	2.5887	0.126366	4683.52	0	2.118	-0.097	0.58	-0.064	0.25	
206155088	2.2127	0.26114728	4419.21	0	2.292	-0.197	0.543	-0.17	0.214	
206155196	2.3706	-0.47270821	5011.05	0	1.904	-0.028	0.575	-0.013	0.246	
206155723	2.8027	0.093648243	4659.7	0	2.133	-0.107	0.574	-0.077	0.244	
206156731	2.5487	-0.25015311	4741.5	0	2.076	-0.089	0.568	-0.07	0.241	
206157908	2.5253	0.10153397	4865.3	0	2.004	-0.043	0.598	-0.008	0.267	
206159025	2.4356	-0.63383557	4680.14	0	2.109	-0.118	0.545	-0.112	0.219	
206159629	2.6697	0.20177339	4537.12	0	2.213	-0.15	0.561	-0.121	0.232	
206160748	2.3263	0.18211525	4469.25	0	2.258	-0.177	0.549	-0.149	0.22	
206161655	2.3323	-0.1039835	4707.66	0	2.1	-0.094	0.574	-0.068	0.245	
206163291	1.9859	-0.14251331	4358.24	0	2.33	-0.231	0.514	-0.219	0.188	
206164364	2.315	-0.1794862	4856.92	0	2.005	-0.053	0.584	-0.029	0.255	
206164458	2.6354	0.2351593	4612.09	0	2.165	-0.12	0.575	-0.086	0.245	
206166135	3.2027	-0.46282632	5147.16	0	1.821	-0.007	0.568	0.006	0.239	
206166512	2.6344	-0.21026678	4673.38	0	2.12	-0.11	0.562	-0.091	0.235	
206168174	2.4785	-0.3955967	4709.95	0	2.093	-0.103	0.559	-0.089	0.232	
206170411	2.3604	0.84438025	4452.15	0	2.27	-0.181	0.577	-0.147	0.25	
206171213	2.6792	0.092706945	4681.37	0	2.119	-0.099	0.577	-0.068	0.247	
206173795	2.3732	0.47830485	4378.18	0	2.32	-0.217	0.542	-0.192	0.215	
206174388	2.5962	-0.25923427	4657.66	0	2.129	-0.116	0.558	-0.099	0.231	
206176188	2.2567	0.23431015	4388.36	0	2.312	-0.212	0.534	-0.188	0.207	
206177144	2.69	-0.082474546	4679.22	0	2.118	-0.104	0.568	-0.08	0.24	
206179101	2.7865	0.15803479	4666.14	0	2.13	-0.104	0.578	-0.071	0.248	
206179276	2.5652	-1.6931999	5215.49	0	1.76	-0.033	0.52	-0.043	0.192	
206179455	2.98	0.32250764	4781.16	0	2.059	-0.064	0.599	-0.024	0.268	
206179462	2.2102	-0.64354484	4463.75	0	2.252	-0.196	0.515	-0.195	0.191	
206180021	2.1777	-1.3591896	4937.26	0	1.936	-0.067	0.541	-0.07	0.214	
206183134	2.3632	0.077114827	4629.59	0	2.152	-0.116	0.572	-0.085	0.242	
206184270	2.4529	0.42365163	4769.61	0	2.067	-0.062	0.608	-0.016	0.275	
206185854	2.5644	-0.5142619	4620.81	0	2.149	-0.135	0.542	-0.127	0.216	
206187398	2.0065	-0.26748914	4475.58	0	2.25	-0.182	0.534	-0.168	0.208	
206187897	2.3718	-0.71953658	5190.71	0	1.792	-0.004	0.562	0.003	0.232	
206188223	3.1467	0.027190707	4926.99	0	1.964	-0.033	0.593	-0.003	0.263	
206188390	2.6012	-0.11029077	4657.27	0	2.132	-0.112	0.565	-0.089	0.237	
206188504	2.4564	-0.15948896	4676.46	0	2.119	-0.106	0.566	-0.084	0.238	
